id,sampling_weight,a,y,sex,race,mom_educ,dad_educ,log_parent_income,log_parent_wealth,test_percentile
1,0.9888835513498634,untreated,FALSE,Female,Hispanic,High school,< HS,7.539977326539162,8.09886806089495,47.35842131093097
2,0.9992949069943279,treated,TRUE,Male,Non-Hispanic Non-Black,College,College,11.483865689966436,11.073954087889383,95.74919816778097
3,0.9673129945062101,untreated,FALSE,Female,Non-Hispanic Black,< HS,No dad,7.489065978858164,7.990217261484814,23.400590647275166
4,1.0062773717101663,untreated,FALSE,Female,Hispanic,High school,No dad,9.855519921845863,9.465994468780055,34.856308326158526
5,0.9514737584628165,treated,TRUE,Male,Non-Hispanic Non-Black,College,College,11.285924260324416,10.391706764035849,74.90643899868954
6,0.9999171640491114,untreated,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,9.747481845571606,7.550960230664627,48.78743425207139
7,1.024155576247722,treated,FALSE,Male,Non-Hispanic Non-Black,College,College,11.06613322334111,12.84813612537574,88.68200245413048
8,1.0381522421957925,untreated,FALSE,Female,Non-Hispanic Black,No mom,No dad,6.571280847754984,7.979519672129346,53.97771283617388
9,1.0135915216989815,untreated,FALSE,Male,Non-Hispanic Non-Black,Some college,College,10.540358733908713,11.395310579764633,81.11828178005487
10,0.9790034158620983,untreated,FALSE,Female,Hispanic,< HS,No dad,9.33445402663037,7.2712718710492625,14.967212302214033
11,0.9843641214072705,untreated,TRUE,Male,Hispanic,College,College,12.40391944186172,13.200483405778243,10.952881942079145
12,1.00725019776728,treated,FALSE,Male,Non-Hispanic Non-Black,College,College,10.903349183142021,10.419916404232868,98.30159692361826
13,0.9936699667247012,treated,TRUE,Female,Non-Hispanic Non-Black,Some college,College,9.967021960901675,13.056173783101455,90.18128531243684
14,0.9569507812382653,untreated,FALSE,Male,Hispanic,No mom,High school,11.42272665848915,10.660886680043381,39.32166296429497
15,1.038633617409505,untreated,FALSE,Male,Hispanic,High school,No dad,7.808925674021542,9.22890482414181,18.99616089291633
16,0.9784471494145691,untreated,TRUE,Male,Non-Hispanic Non-Black,College,College,11.100596846237483,12.087891425523072,92.68288946896128
17,1.0069786435225978,untreated,FALSE,Female,Non-Hispanic Black,High school,< HS,11.461997091511261,9.121542998047953,2.885043075811037
18,1.0318720414536073,untreated,FALSE,Female,Hispanic,High school,Some college,10.36928969465149,9.833959911595795,34.85246745740626
19,0.9870963159948587,untreated,FALSE,Female,Hispanic,Some college,No dad,10.281816446945259,6.973158233198771,25.454673773317218
20,1.0390832046978176,untreated,FALSE,Male,Non-Hispanic Black,Some college,No dad,7.378268078605067,10.530875720078292,49.2373182849049
21,1.033346564951353,untreated,TRUE,Male,Non-Hispanic Non-Black,High school,No dad,8.02543334639277,12.276893298828952,68.33917442779264
22,1.0327502657892182,treated,FALSE,Male,Non-Hispanic Non-Black,High school,Some college,13.972706404505299,10.549771088153982,62.87561950484244
23,1.048205834859982,untreated,FALSE,Female,Non-Hispanic Black,High school,< HS,8.412204578483957,10.41668027305637,10.775683586223433
24,1.007874584547244,untreated,FALSE,Female,Non-Hispanic Black,High school,No dad,9.946128398675551,8.087760614969234,32.10592685477636
25,0.954075035220012,untreated,FALSE,Female,Non-Hispanic Non-Black,No mom,< HS,9.927591795767187,10.914283299287478,45.42089763075731
26,0.9937788895564154,treated,FALSE,Female,Hispanic,College,College,11.523309517056102,13.595208558920262,72.1494715549478
27,1.0128197028767318,untreated,FALSE,Male,Non-Hispanic Black,High school,No dad,8.677483780866801,7.768759329236022,0
28,0.9555434495676308,untreated,TRUE,Male,Non-Hispanic Non-Black,College,College,10.558542275229557,13.121255817287345,23.747522224967533
29,0.9882156646810472,untreated,FALSE,Female,Non-Hispanic Black,Some college,College,11.708622306133336,11.540073952709303,35.64540731656592
30,0.986064864997752,untreated,FALSE,Female,Non-Hispanic Non-Black,High school,High school,11.07940567961516,10.841090568090127,0
31,1.0164985869079828,untreated,FALSE,Male,Non-Hispanic Black,< HS,High school,10.1697900510029,9.951907965058412,13.985166903960312
32,1.0416101216804237,untreated,FALSE,Male,Non-Hispanic Non-Black,College,No dad,7.691144900305947,10.951714399031907,70.09784763972353
33,1.0429243509890511,untreated,TRUE,Female,Non-Hispanic Non-Black,Some college,Some college,9.111204787860594,8.524012972210768,80.74358751399397
34,1.0033137624384836,untreated,FALSE,Male,Non-Hispanic Black,< HS,No dad,9.605879511540792,6.959213785662925,18.90856256977265
35,1.0227205915842206,untreated,TRUE,Male,Non-Hispanic Black,High school,High school,10.547707079999915,12.634120072639544,0
36,0.9649421657435596,untreated,FALSE,Male,Non-Hispanic Non-Black,High school,< HS,8.920049691542479,7.065978112034857,34.909441432624384
37,0.9987268484430387,untreated,FALSE,Female,Non-Hispanic Black,Some college,No dad,10.89907480665117,11.029084789608394,16.911583023769836
38,1.0424708884442226,untreated,FALSE,Female,Non-Hispanic Black,Some college,College,8.947621781683946,12.251953684018474,56.032616541216164
39,1.034253713604994,untreated,FALSE,Male,Non-Hispanic Black,High school,No dad,10.44871887197713,10.61289890911902,6.621869759141202
40,1.0198805381311105,untreated,TRUE,Male,Non-Hispanic Non-Black,High school,High school,11.482576148651834,12.083255425117105,19.08070976405142
41,1.0447240286739543,untreated,TRUE,Female,Non-Hispanic Non-Black,Some college,High school,13.137242958171166,5.65495986083015,38.389953429617
42,1.048389919823967,untreated,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,9.819774067714684,10.709556295505767,74.75974170951298
43,0.9825445105787366,untreated,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,11.192020247333723,11.29446721149253,49.63743975304214
44,0.965401615598239,untreated,FALSE,Female,Non-Hispanic Black,Some college,High school,10.020831633419231,9.416549249115358,0
45,1.024542117677629,untreated,FALSE,Female,Non-Hispanic Non-Black,No mom,Some college,9.358866019239038,7.460201419846085,65.77782082246631
46,0.9970427551539615,treated,FALSE,Male,Hispanic,< HS,No dad,8.671296785978395,6.701794244968987,57.862207155713875
47,0.9945932000875473,treated,FALSE,Female,Non-Hispanic Non-Black,High school,High school,11.132349729816895,10.692109206158795,48.78731708163762
48,1.0237545897718519,untreated,FALSE,Female,Non-Hispanic Black,High school,High school,9.376638000061323,10.42091703730037,26.925852884681316
49,0.9574579193489625,treated,TRUE,Male,Non-Hispanic Non-Black,College,College,11.054007130468984,10.95957561493045,96.61442184198441
50,1.0115840322105214,untreated,FALSE,Male,Hispanic,High school,No dad,6.644610826242777,9.954738311106556,17.022472631947018
51,1.0481719059636816,untreated,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,8.670812635989517,11.288942288126806,36.164070866890704
52,0.9645909640006721,untreated,FALSE,Male,Hispanic,< HS,No dad,8.520497284116908,6.868654727138019,41.5914846679798
53,0.98928628412541,untreated,TRUE,Male,Non-Hispanic Non-Black,College,No dad,10.371697911562343,9.552049104010475,92.22838913989787
54,1.0149782691849396,treated,TRUE,Male,Non-Hispanic Non-Black,High school,Some college,10.301901706526666,10.901445915389022,89.40821729593253
55,0.9938442161772401,untreated,FALSE,Female,Hispanic,< HS,No dad,9.136688641796768,7.980765354962801,47.94614117069008
56,1.0002269378630444,untreated,TRUE,Female,Non-Hispanic Non-Black,High school,No dad,8.251212124072643,10.167888605123101,74.69804219081098
57,1.026927682152018,untreated,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,10.431602959525186,9.21141732296677,6.206687311125883
58,0.950348521117121,untreated,FALSE,Male,Non-Hispanic Black,High school,No dad,10.729454548900579,9.530253571584378,5.559140601909448
59,0.9928690809989348,treated,TRUE,Female,Non-Hispanic Non-Black,College,College,10.272378688074662,11.324497103131847,98.83533236567429
60,1.0062543415697291,untreated,FALSE,Female,Non-Hispanic Non-Black,No mom,College,8.770862836655896,6.293944616448742,52.64357864789437
61,0.9819742220686748,untreated,FALSE,Male,Non-Hispanic Non-Black,< HS,High school,11.49194687636923,11.161458661996312,57.39773853521913
62,1.0194327170727775,untreated,FALSE,Female,Non-Hispanic Non-Black,< HS,Some college,9.144828218283443,10.118668051187043,2.0370196611376983
63,1.00554563452024,untreated,FALSE,Male,Non-Hispanic Non-Black,High school,Some college,10.076315510210971,12.826302478925882,90.43450516937443
64,0.9909113572444767,untreated,FALSE,Female,Hispanic,< HS,No dad,11.221738349043967,9.443150691127176,18.052867635127324
65,1.0419000628171489,untreated,FALSE,Male,Non-Hispanic Black,High school,No dad,8.904198143784555,8.693503146359419,30.472510520113886
66,1.0243927074363455,untreated,FALSE,Female,Non-Hispanic Black,College,Some college,7.730764089674825,10.48444950805494,52.59184914054497
67,0.9536535618826747,treated,FALSE,Female,Non-Hispanic Non-Black,High school,High school,11.564627758800176,10.620766707966023,24.667766403244563
68,1.0217253859387712,treated,FALSE,Male,Non-Hispanic Non-Black,High school,High school,9.286410211408652,12.272979424117768,73.81841561919882
69,1.0207449520938099,untreated,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,8.139524065744736,12.219490786348764,67.85969258841092
70,1.0237479656469077,treated,TRUE,Male,Non-Hispanic Non-Black,College,College,12.300710340075508,8.824301817141361,89.54955186396208
71,1.0207033829996361,untreated,TRUE,Male,Hispanic,High school,High school,9.840872509928897,8.617223205056515,37.051643410198345
72,1.0176357326330616,untreated,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,11.062798408005685,11.283252070463938,84.61617622125486
73,0.9968754685018212,untreated,FALSE,Female,Hispanic,< HS,< HS,9.267412687545072,8.201726037908893,5.307637544789667
74,1.0018992698052898,untreated,FALSE,Female,Non-Hispanic Black,High school,No dad,8.187927159581806,9.826637081384684,43.05855636056492
75,0.9910514228744433,treated,TRUE,Female,Hispanic,< HS,High school,9.796350187512104,13.081742642348502,37.273327393434215
76,0.9583709959173574,untreated,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,9.654796753778323,9.34599981582824,38.4708870028901
77,0.9979741437593475,untreated,FALSE,Female,Non-Hispanic Black,No mom,No dad,8.045707855782602,7.1879588489047155,22.19985730912133
78,0.9795008129673078,treated,TRUE,Male,Non-Hispanic Non-Black,College,College,12.232729539371412,10.107412822830875,80.657354776388
79,0.9502189258113503,untreated,FALSE,Male,Non-Hispanic Black,< HS,No dad,8.356878095518006,8.546865327730629,25.45881162211498
80,1.0364604170434177,untreated,FALSE,Female,Hispanic,< HS,< HS,9.36400112965868,8.304481265638735,25.076590883378437
81,1.0058601268799976,untreated,TRUE,Male,Non-Hispanic Black,High school,< HS,7.693327289076789,16.0931039437891,10.521556341937373
82,1.0355933527695016,treated,TRUE,Female,Non-Hispanic Non-Black,Some college,College,11.96439590088809,12.927315911579766,50.39182034813878
83,1.0111926689743995,untreated,FALSE,Female,Non-Hispanic Black,College,College,10.224758745890268,11.629699554057957,61.828823579933726
84,0.9906090230913833,untreated,FALSE,Male,Non-Hispanic Black,Some college,< HS,11.223839211578278,9.285108247221194,0
85,0.981355038518086,untreated,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,8.849090269568766,10.00141295482177,24.248002321527643
86,1.0471173936501146,treated,FALSE,Female,Hispanic,High school,High school,12.052714839000972,12.175623007835052,100
87,1.0495484366547316,untreated,FALSE,Female,Hispanic,< HS,< HS,8.674256523492186,10.021477540433384,44.00122853634356
88,1.012443049508147,untreated,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,10.421250089585808,8.261392643637981,49.64491228466876
89,1.0164506744127721,untreated,TRUE,Male,Non-Hispanic Non-Black,College,No dad,11.584904673494236,11.672749558581238,100
90,1.0290341457352041,untreated,TRUE,Female,Non-Hispanic Non-Black,Some college,Some college,11.952543769225192,11.279270452822573,74.4835258726064
