id,hhincome
1,29031.05596592514
2,54643.553431433356
3,125996.42892981446
4,0
5,29762.074142010904
6,59665.692732214906
7,22159.476424378987
8,148384.87496206944
9,36739.97722003079
10,88019.09100422935
11,54573.06726591524
12,41405.24542935527
13,48061.21334535108
14,188335.18671005763
15,57759.119803358815
16,84287.9021963287
17,38945.478649706296
18,58047.728581128766
19,191109.38905245505
20,44963.28046604298
21,42579.12363206827
22,28076.314356619205
23,0
24,18969.7540787922
25,79993.6358386387
26,56275.67156382427
27,33565.229968672946
28,17539.425234806225
29,209500.4209285972
30,48059.46018212276
31,68048.49160521869
32,51694.818817219035
33,49099.223877414974
34,149819.13005486492
35,45417.557195850786
36,115245.5130024098
37,83789.90363957024
38,47315.16555538758
39,19714.066409456933
40,160012.3655528228
41,149166.0522833911
42,30730.13027981744
43,15525.52177843979
44,268708.55393079005
45,64316.53740286183
46,102389.15042798125
47,28345.467309463194
48,13401.23820340093
49,141701.09064152502
50,129071.12331311063
51,72440.05768121486
52,67608.0549280714
53,50301.66669016757
54,95686.01671565896
55,11843.062160135825
56,72079.20406628273
57,349556.7054918457
58,29976.409242347476
59,70526.2038257454
60,47129.73364661127
61,27223.625710279135
62,201895.22062183454
63,99722.3545860797
64,136625.33768328876
65,38063.34759884496
66,0
67,231974.06353714044
68,0
69,500000
70,241123.98703093934
71,103278.65287966799
72,0
73,112600.06674205314
74,10806.938470700703
75,12485.640253352889
76,500000
77,0
78,25296.914896742437
79,478171.3862338026
80,168258.14823808556
81,171958.19683878054
82,16947.292359501735
83,46324.60635008516
84,30877.075097689718
85,32713.950153993257
86,118212.45033401156
87,60592.176578300896
88,24205.826655331497
89,36907.93211193293
90,218490.0495959898
91,87498.52682655034
92,37780.265110440865
93,20482.33616652519
94,93712.85307238596
95,17686.56345546912
96,40558.938948948395
97,15882.888566640997
98,66302.07170103486
99,54005.782928915694
100,175781.39941527846
101,104909.8429471949
102,43053.106265150294
103,253327.59126251718
104,42008.342822205545
105,121862.53791826579
106,150918.10802064982
107,149151.45141145392
108,20503.89474513473
109,251544.60478008603
110,34794.075256490636
