sex,year,employed
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
male,1962,TRUE
