observation_id,sampling_weight,treated,y,race,pre_age,pre_educ,pre_marital,pre_employed,pre_fulltime,pre_tenure,pre_experience
1,0.5,TRUE,TRUE,Hispanic,32.3151029562098,Less than high school,cohabiting,TRUE,TRUE,0.3583757396035469,5.25331404367296
2,0.5,FALSE,FALSE,Hispanic,29.676166412257135,High school,no_partner,TRUE,FALSE,0.1,1.4096123071985256
3,1.4872276566345664,TRUE,FALSE,Non-Hispanic Non-Black,32.28811269858644,4-year degree,no_partner,TRUE,TRUE,0.1,7.55229834353864
4,1.178411699050522,FALSE,TRUE,Non-Hispanic Non-Black,26.265167067079787,4-year degree,married,TRUE,FALSE,2.092400543414212,2.811667873915752
5,1.5055064288023297,FALSE,TRUE,Non-Hispanic Non-Black,30.373972109700876,4-year degree,no_partner,FALSE,FALSE,0.1,0.1
6,1.3523229190298274,FALSE,TRUE,Non-Hispanic Non-Black,27.929552061511384,High school,no_partner,TRUE,TRUE,5.044687382676361,8.625472287461434
7,0.7714971600514291,FALSE,TRUE,Non-Hispanic Black,26.525306961554538,High school,no_partner,TRUE,FALSE,0.1,3.3130024954648487
8,1.3744289546007253,FALSE,TRUE,Non-Hispanic Non-Black,27.600154464709462,2-year degree,cohabiting,TRUE,TRUE,0.23916449787943783,5.3754583686234145
9,1.3945973591439023,FALSE,FALSE,Non-Hispanic Non-Black,19.156350633517288,High school,no_partner,FALSE,FALSE,0.1,0.1
10,0.5,FALSE,FALSE,Hispanic,21.78769549829487,High school,no_partner,FALSE,FALSE,0.1,0.4334759085021899
11,1.3340293375407806,FALSE,TRUE,Non-Hispanic Non-Black,24.615579005155208,4-year degree,no_partner,FALSE,FALSE,0.1,2.0198432116959606
12,1.2494406937633196,FALSE,FALSE,Non-Hispanic Non-Black,23.053105239205784,High school,no_partner,TRUE,FALSE,0.1,0.1
13,0.8705256226474608,FALSE,TRUE,Hispanic,31.861767652069126,High school,no_partner,TRUE,FALSE,0.21174784044011186,1.2638827125111392
14,1.3541389271801207,FALSE,TRUE,Non-Hispanic Non-Black,28.806685661838895,High school,no_partner,TRUE,TRUE,0.38436621927926984,0.38436621927926984
15,1.3631174950322433,FALSE,TRUE,Non-Hispanic Non-Black,31.670799922309236,2-year degree,married,TRUE,TRUE,2.918568440052814,9.644276678075848
